rank,factor,total_refs,as_cause,as_effect,transcripts
4128,integrated water projects,1,0,1,1
4129,integration and coordination among kebele leadership,1,1,0,1
4130,integration into formal water sector,1,1,0,1
4131,integration of sanitation activities and schedules,1,0,1,1
4132,integration of training and infrastructure support,1,1,0,1
4133,integration of water services with education and health,1,1,0,1
4134,integration of water structures,1,1,0,1
4135,inter-NGO coordination,1,1,0,1
4136,inter-NGO partnerships,1,1,0,1
4137,inter-actor knowledge sharing,1,1,0,1
4138,inter-agency collaboration,1,0,1,1
4139,"inter-agency collaboration (health, municipality, water)",1,1,0,1
4140,inter-agency conflict,1,0,1,1
4141,inter-agency consultation,1,1,0,1
4142,inter-agency cooperation,1,0,1,1
4143,inter-agency coordinated planning,1,1,0,1
4144,inter-agency coordination (municipality and kebele),1,1,0,1
4145,inter-agency implementation,1,0,1,1
4146,inter-agency material support,1,1,0,1
4147,inter-agency network strength,1,1,0,1
4148,inter-agency payment agreement,1,1,0,1
4149,inter-agency task sharing,1,1,0,1
4150,inter-agency understanding,1,0,1,1
4151,inter-bureau collaboration,1,1,0,1
4152,inter-bureau coordination,1,1,0,1
4153,"inter-bureau synergy (health, education, women and children)",1,1,0,1
4154,inter-community disputes,1,0,1,1
4155,inter-departmental coordination,1,1,0,1
4156,inter-institutional sanitation training,1,1,0,1
4157,inter-level coordination,1,1,0,1
4158,inter-locality experience sharing,1,1,0,1
4159,inter-office coordination effectiveness,1,0,1,1
4160,inter-office information sharing,1,1,0,1
4161,inter-office support,1,0,1,1
4162,inter-organizational communication,1,1,0,1
4163,inter-organizational coordination at field level,1,0,1,1
4164,inter-partner information sharing,1,0,1,1
4165,inter-sector WASH coordination,1,0,1,1
4166,inter-sector collaboration,1,1,0,1
4167,inter-sector communication,1,1,0,1
4168,inter-sector coordination at woreda level,1,1,0,1
4169,inter-sector coordination effectiveness,1,0,1,1
4170,inter-sector learning,1,1,0,1
4171,inter-sector meetings,1,1,0,1
4172,inter-sector priority given to water and sanitation,1,1,0,1
4173,inter-sector relations,1,0,1,1
4174,inter-sector responsibility diffusion,1,1,0,1
4175,inter-sector stream committee,1,1,0,1
4176,inter-sectoral coordination,1,1,0,1
4177,inter-sectoral coordination with public,1,1,0,1
4178,inter-town learning and experience exchange,1,1,0,1
4179,interaction with national and county government and regulatory bodies,1,1,0,1
4180,internal conflict in committee,1,1,0,1
4181,internal financial controls,1,1,0,1
4182,international and NGO funding,1,1,0,1
4183,internet and computer availability,1,1,0,1
4184,intersectoral coordination,1,0,1,1
4185,intervention planning,1,0,1,1
4186,intervention selection,1,0,1,1
4187,intervention targeting,1,0,1,1
4188,intra-organizational coordination,1,1,0,1
4189,investigation of project failures,1,1,0,1
4190,investment activity expansion,1,1,0,1
4191,investment and tourism,1,0,1,1
4192,investment and tourism attraction,1,1,0,1
4193,investment cost,1,0,1,1
4194,investment impact,1,0,1,1
4195,investment in sustainable water infrastructure,1,0,1,1
4196,investment in well development,1,1,0,1
4197,investor participation in WASH,1,1,0,1
4198,investor support,1,1,0,1
4199,investor water point construction,1,1,0,1
4200,involvement of health and education sectors in WASH,1,1,0,1
4201,irrigation,1,0,1,1
4202,irrigation potential,1,0,1,1
4203,irrigation use of river water,1,1,0,1
4204,irrigation water supply,1,0,1,1
4205,joint NGO machinery sharing,1,1,0,1
4206,joint WASH planning,1,1,0,1
4207,joint activity planning among stakeholders,1,1,0,1
4208,joint evaluation of WASH implementation,1,1,0,1
4209,joint multi-sector awareness campaigns,1,1,0,1
4210,joint partnership projects,1,1,0,1
4211,joint planning,1,0,1,1
4212,joint planning with partners,1,1,0,1
4213,joint sanitation operations,1,0,1,1
4214,joint sector planning,1,1,0,1
4215,joint sectoral action,1,1,0,1
4216,kebele administration engagement in construction and management,1,1,0,1
4217,kebele and village bylaws,1,1,0,1
4218,kebele budget,1,1,0,1
4219,kebele leadership accountability,1,1,0,1
4220,kebele monitoring,1,0,1,1
4221,kebele representative and city administration coordination,1,1,0,1
4222,kebele representative coordination with learning alliance,1,1,0,1
4223,kebele revenue collection,1,1,0,1
4224,kebele stakeholder capacity,1,0,1,1
4225,kebele waste collection coverage,1,0,1,1
4226,khat addiction,1,1,0,1
4227,kiosk revenue remittance to committee,1,0,1,1
4228,knowledge and experience sharing,1,0,1,1
4229,knowledge and resource sharing,1,0,1,1
4230,knowledge of county WASH investments,1,0,1,1
4231,knowledge of harm and benefit,1,1,0,1
4232,knowledge of non-functional water schemes,1,0,1,1
4233,knowledge of riparian areas,1,0,1,1
4234,knowledge of stakeholder locations and activities,1,1,0,1
4235,knowledge of stakeholder plans and activities,1,1,0,1
4236,knowledge of unserved areas,1,0,1,1
4237,knowledge of water source and service area,1,1,0,1
4238,knowledge on rural water scheme management,1,0,1,1
4239,knowledge-practice gap,1,1,0,1
4240,knowledgeable MCAs,1,1,0,1
4241,labor division among institutions,1,1,0,1
4242,laboratory access,1,0,1,1
4243,lack of commitment from WASH coordination office and finance bureau,1,1,0,1
4244,lack of coordination,1,1,0,1
4245,lack of electricity at facilities,1,1,0,1
4246,lack of expertise,1,1,0,1
4247,lack of inter-NGO coordination,1,1,0,1
4248,lack of maintenance,1,1,0,1
4249,lack of ownership,1,1,0,1
4250,lack of precautionary measures,1,1,0,1
4251,lack of trust,1,1,0,1
4252,land acquisition for public latrines,1,0,1,1
4253,land acquisition issues,1,1,0,1
4254,land agreement registration with government offices,1,1,0,1
4255,land allocation for liquid disposal infrastructure,1,1,0,1
4256,land allocation for waste enterprises,1,1,0,1
4257,land availability,1,1,0,1
4258,land compensation for dumping site,1,1,0,1
4259,land compensation payment,1,1,0,1
4260,land compensation to farmers,1,1,0,1
4261,land contract renewal,1,1,0,1
4262,land dispute resolution,1,0,1,1
4263,land donation guidelines,1,0,1,1
4264,land owner compensation process,1,1,0,1
4265,land ownership clarity,1,1,0,1
4266,land use in upper catchment areas,1,1,0,1
4267,land use regulation enforcement,1,0,1,1
4268,landfill construction,1,0,1,1
4269,landfill site and additional waste trucks,1,1,0,1
4270,landfill site availability,1,1,0,1
4271,landfill site preparation,1,0,1,1
4272,large establishment compliance with drainage service,1,1,0,1
4273,large infrastructure construction,1,1,0,1
4274,large water tanks,1,1,0,1
4275,large-scale water scheme maintenance,1,0,1,1
4276,last mile connectivity project,1,1,0,1
4277,latrine and handwashing services,1,0,1,1
4278,latrine conditions,1,0,1,1
4279,latrine construction material quality,1,1,0,1
4280,latrine contamination,1,0,1,1
4281,latrine emptying affordability,1,0,1,1
4282,latrine emptying service cost,1,0,1,1
4283,latrine facility damage,1,1,0,1
4284,latrine fence,1,1,0,1
4285,latrine hygiene practices,1,0,1,1
4286,latrine leadership quality,1,1,0,1
4287,latrine location,1,1,0,1
4288,latrine maintenance capacity,1,1,0,1
4289,latrine management system,1,1,0,1
4290,latrine mismanagement,1,1,0,1
4291,latrine operational sustainability,1,0,1,1
4292,latrine pumping,1,0,1,1
4293,latrine pumping services,1,1,0,1
4294,latrine sanitation service,1,0,1,1
4295,latrine service sustainability,1,0,1,1
4296,latrine sustainability,1,0,1,1
4297,latrine sustainability in rainy season,1,0,1,1
4298,latrine upgrade,1,0,1,1
4299,latrine use,1,0,1,1
4300,latrine use and handwashing practices,1,0,1,1
4301,latrine user fee,1,0,1,1
4302,latrine utilization,1,0,1,1
4303,latrine waste discharge into drainage,1,1,0,1
4304,latrine waste disposal,1,0,1,1
4305,latrine waste management,1,0,1,1
4306,latrine water and handwashing facilities,1,0,1,1
4307,latrine-managing committee activity,1,1,0,1
4308,laundry wastewater management,1,0,1,1
4309,laundry wastewater on streets,1,1,0,1
4310,law and enforcement on polluting institutions,1,1,0,1
4311,law enforcement,1,1,0,1
4312,laws enforcing water scheme maintenance,1,1,0,1
4313,leader role modeling,1,1,0,1
4314,leadership accountability,1,1,0,1
4315,leadership and professional capacity,1,0,1,1
4316,leadership awareness creation platform,1,1,0,1
4317,leadership change,1,1,0,1
4318,leadership commitment,1,1,0,1
4319,leadership involvement in sanitation coordination,1,1,0,1
4320,leadership motivation,1,1,0,1
4321,leadership prioritization of sanitation,1,1,0,1
4322,leadership skills,1,1,0,1
4323,leadership succession,1,1,0,1
4324,learning alliance support for sanitation improvement,1,0,1,1
4325,learning and experience sharing platforms,1,1,0,1
4326,learning institution partnerships,1,1,0,1
4327,leather industry chemical discharge,1,1,0,1
4328,legal accountability for scheme management,1,1,0,1
4329,legal authority to penalize committees,1,1,0,1
4330,legal enforcement,1,1,0,1
4331,legal enforcement mechanisms,1,1,0,1
4332,legal framework for environmental protection,1,1,0,1
4333,legal framework for waste management,1,1,0,1
4334,legal framework for water schemes,1,1,0,1
4335,legal framework on sewage treatment,1,1,0,1
4336,legal instruments for fund misappropriation,1,1,0,1
4337,legal measures and penalties,1,1,0,1
4338,legal penalty for fund mismanagement,1,1,0,1
4339,legal regulation of hotel waste,1,1,0,1
4340,legal site ownership,1,1,0,1
4341,legal status of committees,1,1,0,1
4342,legal waste dumping site,1,1,0,1
4343,legal/regulatory framework,1,1,0,1
4344,lessons from experienced organizations,1,0,1,1
4345,licensing sector enforcement,1,1,0,1
4346,limited budget,1,1,0,1
4347,limited mandate of WASH coordination office,1,1,0,1
4348,limited road access,1,1,0,1
4349,linkage with existing project actors in area,1,1,0,1
4350,linkage with maintenance service providers,1,1,0,1
4351,links to quality repair and maintenance service providers,1,1,0,1
4352,liquid sanitation system adequacy,1,0,1,1
4353,liquid waste accumulation,1,0,1,1
4354,liquid waste and pit emptying service,1,1,0,1
4355,liquid waste collection and disposal,1,0,1,1
4356,liquid waste collection services,1,0,1,1
4357,liquid waste contamination,1,0,1,1
4358,liquid waste discharge to drainage,1,0,1,1
4359,liquid waste disposal adequacy,1,0,1,1
4360,liquid waste disposal methods,1,0,1,1
4361,liquid waste disposal site,1,1,0,1
4362,liquid waste disposal site functionality,1,0,1,1
4363,liquid waste disposal site preparation,1,0,1,1
4364,liquid waste dump site,1,1,0,1
4365,liquid waste dump site availability,1,1,0,1
4366,liquid waste dump site relocation,1,1,0,1
4367,liquid waste evaporation,1,0,1,1
4368,liquid waste filtering schemes,1,1,0,1
4369,liquid waste flooding,1,0,1,1
4370,liquid waste flooding of residential houses,1,0,1,1
4371,liquid waste generation,1,0,1,1
4372,liquid waste ground absorption,1,0,1,1
4373,liquid waste in open ditches,1,0,1,1
4374,liquid waste infrastructure suitability,1,0,1,1
4375,liquid waste overflow,1,0,1,1
4376,liquid waste processing,1,0,1,1
4377,liquid waste river pollution,1,0,1,1
4378,liquid waste system effectiveness,1,0,1,1
4379,liquid waste temporary reservoirs,1,1,0,1
4380,liquid waste transport,1,0,1,1
4381,liquid waste treatment coverage,1,0,1,1
4382,liquid waste truck adequacy,1,0,1,1
4383,liquid waste trucks,1,1,0,1
4384,littering,1,0,1,1
4385,livestock health,1,0,1,1
4386,livestock water access,1,0,1,1
4387,living conditions,1,0,1,1
4388,living standard,1,0,1,1
4389,living standards,1,0,1,1
4390,loan repayment obligation,1,1,0,1
4391,local adoption of RO systems,1,0,1,1
4392,local artisan capacity,1,1,0,1
4393,local artisan involvement,1,1,0,1
4394,local artisan training,1,1,0,1
4395,local availability of construction materials,1,1,0,1
4396,local breakdown repair,1,0,1,1
4397,local capacity at project level,1,1,0,1
4398,local champion training,1,1,0,1
4399,local community consultation in water scheme planning,1,1,0,1
4400,local community safety,1,0,1,1
4401,local community training,1,1,0,1
4402,local community water supply,1,0,1,1
4403,local consultant capacity,1,1,0,1
4404,local electric technicians,1,1,0,1
4405,local electromechanical staff,1,1,0,1
4406,local expert maintenance capacity,1,0,1,1
4407,local financial capacity,1,0,1,1
4408,local financing and in-kind contributions,1,0,1,1
4409,local fund alignment with foreign aid,1,1,0,1
4410,local government commitment,1,1,0,1
4411,local government procurement mandate,1,1,0,1
4412,local knowledge access,1,0,1,1
4413,local management and administration of water schemes,1,0,1,1
4414,local monitors and repair persons at kebele level,1,1,0,1
4415,local operator capacity,1,1,0,1
4416,local operator capacity building,1,0,1,1
4417,local operator compensation,1,1,0,1
4418,local personnel payment,1,0,1,1
4419,local repair staff capacity,1,1,0,1
4420,local resource person capacity,1,1,0,1
4421,local resource persons for system maintenance,1,1,0,1
4422,local resource utilization,1,0,1,1
4423,local scheme maintenance capacity,1,0,1,1
4424,local selection authority,1,0,1,1
4425,local spare parts affordability,1,0,1,1
4426,local spare parts stockist,1,1,0,1
4427,local technical input in project proposals,1,1,0,1
4428,local technical team participation in project feasibility,1,1,0,1
4429,local technical training,1,1,0,1
4430,local ward offices with qualified personnel,1,1,0,1
4431,local water access,1,1,0,1
4432,local water source development,1,1,0,1
4433,local water source management,1,0,1,1
4434,localized WSP management offices,1,1,0,1
4435,logistic facility (vehicle),1,1,0,1
4436,logistic support,1,0,1,1
4437,logistics provision to water offices,1,1,0,1
4438,"logistics, staffing and manpower capacity of coordination office",1,1,0,1
4439,long travel distances for maintenance,1,1,0,1
4440,long-term institutional collaboration,1,1,0,1
4441,long-term sanitation planning,1,0,1,1
4442,long-term student training,1,1,0,1
4443,long-term supplier contracts,1,1,0,1
4444,long-term system management,1,0,1,1
4445,long-term water resource planning,1,1,0,1
4446,low rainfall,1,1,0,1
4447,low water tariffs,1,1,0,1
4448,low-cost project design,1,1,0,1
4449,lower-level government action on sanitation,1,0,1,1
4450,lowest-bid consultant selection,1,1,0,1
4451,lowest-bid procurement criteria,1,1,0,1
4452,lowland pastoralist geography,1,1,0,1
4453,loyalty to laws,1,1,0,1
4454,machine efficiency,1,0,1,1
4455,machineries and equipment availability,1,0,1,1
4456,main pipeline capacity,1,1,0,1
4457,maintenance,1,1,0,1
4458,maintenance access,1,0,1,1
4459,maintenance accountability,1,0,1,1
4460,maintenance and expansion works,1,0,1,1
4461,maintenance and materials support to woreda,1,0,1,1
4462,maintenance and operation knowledge,1,0,1,1
4463,maintenance and operation quality,1,0,1,1
4464,maintenance and rehabilitation of water schemes,1,0,1,1
4465,maintenance and repair funds,1,1,0,1
4466,maintenance and replacement,1,0,1,1
4467,maintenance and replacement funding,1,0,1,1
4468,maintenance budget,1,1,0,1
4469,maintenance budget allocation,1,0,1,1
4470,maintenance burden,1,0,1,1
4471,maintenance crew at zonal level,1,1,0,1
4472,maintenance demand,1,0,1,1
4473,maintenance difficulty,1,0,1,1
4474,maintenance equipment (cranes),1,1,0,1
4475,maintenance fee payment,1,1,0,1
4476,maintenance finance from government,1,0,1,1
4477,maintenance financial cost,1,0,1,1
4478,maintenance financing,1,0,1,1
4479,maintenance financing sustainability,1,0,1,1
4480,maintenance fund allocation,1,0,1,1
4481,maintenance fund availability,1,0,1,1
4482,maintenance fund continuity,1,0,1,1
4483,maintenance funds,1,1,0,1
4484,maintenance kitty,1,1,0,1
4485,maintenance materials,1,1,0,1
4486,maintenance materials transport,1,0,1,1
4487,maintenance materials/spare parts,1,1,0,1
4488,maintenance of broken water schemes,1,1,0,1
4489,maintenance of damaged water schemes,1,1,0,1
4490,maintenance of existing infrastructure,1,0,1,1
4491,maintenance of existing water points,1,1,0,1
4492,maintenance of existing water schemes,1,1,0,1
4493,maintenance of water infrastructure,1,1,0,1
4494,maintenance of water points,1,0,1,1
4495,maintenance operations,1,0,1,1
4496,maintenance problem resolution,1,0,1,1
4497,maintenance requirements,1,0,1,1
4498,maintenance resources,1,0,1,1
4499,maintenance response speed,1,0,1,1
4500,maintenance service cost coverage,1,0,1,1
4501,maintenance service efficiency,1,0,1,1
4502,maintenance service expansion,1,0,1,1
4503,maintenance service in remote kebeles,1,0,1,1
4504,maintenance service in rural areas,1,0,1,1
4505,maintenance service provider linkages,1,1,0,1
4506,maintenance service reach,1,0,1,1
4507,maintenance service reach to kebeles,1,0,1,1
4508,maintenance service timeliness,1,0,1,1
4509,maintenance services,1,0,1,1
4510,maintenance skill training for local communities,1,1,0,1
4511,maintenance support by water and sanitation office,1,1,0,1
4512,maintenance team manpower effectiveness,1,0,1,1
4513,maintenance tools availability,1,1,0,1
4514,maintenance tools for WASHCos,1,1,0,1
4515,maintenance tools provision,1,1,0,1
4516,major breakdown funding,1,0,1,1
4517,major breakdown repair,1,0,1,1
4518,major breakdowns,1,0,1,1
4519,major component replacement cost,1,1,0,1
4520,major equipment purchase,1,0,1,1
4521,major maintenance coverage,1,0,1,1
4522,major technical difficulty resolution,1,0,1,1
4523,malaria disease,1,0,1,1
4524,malaria disease prevention,1,0,1,1
4525,malaria transmission,1,0,1,1
4526,management and O&M training,1,1,0,1
4527,management and community knowledge of directive,1,1,0,1
4528,management and expert capacity,1,0,1,1
4529,management and operational capacity,1,0,1,1
4530,management capacity of WSPs and rural schemes,1,1,0,1
4531,management commitment,1,1,0,1
4532,management committee capacity,1,1,0,1
4533,management committee competence,1,0,1,1
4534,management committee conflicts,1,1,0,1
4535,management committee dependence,1,0,1,1
4536,management committee elections,1,1,0,1
4537,management committee formation,1,0,1,1
4538,management committee knowledge,1,1,0,1
4539,management committee misuse of collected revenue,1,1,0,1
4540,management committee record-keeping,1,1,0,1
4541,management committee retention,1,0,1,1
4542,management committee stability,1,0,1,1
4543,management contract model,1,1,0,1
4544,management cost,1,0,1,1
4545,management decisions on sanitation,1,0,1,1
4546,management efficiency,1,0,1,1
4547,management issues,1,1,0,1
4548,management knowledge of committee members,1,1,0,1
4549,management model adoption,1,0,1,1
4550,management model redesign,1,1,0,1
4551,management of existing schemes,1,1,0,1
4552,management of existing water schemes,1,1,0,1
4553,management of facilities,1,1,0,1
4554,management of facility funds,1,0,1,1
4555,"management of landfill, waste treatment, and latrines",1,1,0,1
4556,management performance,1,0,1,1
4557,management problem,1,1,0,1
4558,management problem resolution,1,1,0,1
4559,management skills of water scheme managers,1,1,0,1
4560,management team replacement,1,1,0,1
4561,management turnover,1,1,0,1
4562,manager embezzlement of water revenue,1,1,0,1
4563,manager focus on WASH,1,1,0,1
4564,mandate execution,1,0,1,1
4565,mandatory bank account requirement,1,1,0,1
4566,mandatory inter-sector meetings,1,1,0,1
4567,mandatory maintenance fee payment,1,0,1,1
4568,manpower,1,1,0,1
4569,manpower problems,1,0,1,1
4570,manual billing system,1,1,0,1
4571,manufacturing and service firms growth,1,1,0,1
4572,manufacturing firm waste treatment plants,1,1,0,1
4573,manufacturing industries growth,1,1,0,1
4574,market links and equipment awareness,1,1,0,1
4575,market material quality (pipes),1,1,0,1
4576,market waste management,1,0,1,1
4577,master meter installation,1,1,0,1
4578,master plan coverage,1,1,0,1
4579,master plan inclusion of unplanned settlements,1,1,0,1
4580,master plan knowledge,1,1,0,1
4581,material durability consideration in procurement,1,1,0,1
4582,material supply problem resolution,1,0,1,1
4583,material support for waste collection associations,1,1,0,1
4584,materials quality oversight by authorities,1,1,0,1
4585,maternal and child mortality,1,0,1,1
4586,maternal and childcare service quality,1,0,1,1
4587,mayor oversight,1,1,0,1
4588,mechanic authorization for non-Whave water sources,1,1,0,1
4589,medication costs,1,0,1,1
4590,meeting frequency,1,1,0,1
4591,mega schemes,1,0,1,1
4592,member sector performance,1,0,1,1
4593,memorandum of understanding,1,1,0,1
4594,memorandum of understanding with Whave,1,1,0,1
4595,merit-based appointment criteria,1,1,0,1
4596,meteorological forecasting,1,1,0,1
4597,meter reading,1,0,1,1
4598,meter reading and billing frequency,1,1,0,1
4599,meter reading and billing timeliness,1,0,1,1
4600,meter reading logs,1,1,0,1
4601,metered consumption billing,1,1,0,1
4602,metering,1,1,0,1
4603,metering requirement,1,1,0,1
4604,metering system,1,0,1,1
4605,metering systems,1,1,0,1
4606,micro and small enterprise arrangement,1,1,0,1
4607,micro and small enterprise for maintenance,1,1,0,1
4608,micro and small enterprise formation,1,0,1,1
4609,micro and small enterprise maintenance service,1,1,0,1
4610,micro enterprises for spare parts supply,1,1,0,1
4611,microenterprise incentivization,1,1,0,1
4612,microenterprise service use for waste disposal,1,0,1,1
4613,migration,1,0,1,1
4614,minor maintenance and operation,1,0,1,1
4615,minor maintenance capability,1,0,1,1
4616,minor maintenance funding,1,0,1,1
4617,minor maintenance service provision,1,0,1,1
4618,minor maintenance skill training,1,1,0,1
4619,minor technical difficulty resolution,1,0,1,1
4620,misaligned water scheme placement,1,0,1,1
4621,misappropriation of revenue by multiple officials,1,1,0,1
4622,mishandling of hand pumps,1,1,0,1
4623,mismanagement of funds,1,1,0,1
4624,mismanagement of resources,1,0,1,1
4625,mismanagement of rural water schemes,1,1,0,1
4626,misperception of NGO/government ownership of water sources,1,1,0,1
4627,misuse of collected maintenance funds,1,0,1,1
4628,misuse of drinking water for construction,1,1,0,1
4629,misuse of hand pumps by children,1,1,0,1
4630,misuse of water drainage pipes for liquid waste,1,0,1,1
4631,mobility across sub-counties,1,0,1,1
4632,"mobilization of NGOs, private individuals, and government",1,1,0,1
4633,model public latrines,1,1,0,1
4634,modern sanitation system,1,0,1,1
4635,modern waste disposal site construction,1,0,1,1
4636,modern waste disposal site planning,1,0,1,1
4637,modern waste processing methods,1,1,0,1
4638,monetary resource scarcity,1,1,0,1
4639,money management capacity,1,0,1,1
4640,monitoring activities,1,0,1,1
4641,monitoring and early reporting,1,0,1,1
4642,monitoring and evaluation framework,1,1,0,1
4643,monitoring and evaluation of projects,1,0,1,1
4644,monitoring and evaluation system for WASH programs,1,1,0,1
4645,monitoring and evaluation systems,1,1,0,1
4646,monitoring and field supervision,1,0,1,1
4647,monitoring and follow-up by HBM,1,1,0,1
4648,monitoring and maintenance schedule,1,1,0,1
4649,monitoring and maintenance services,1,0,1,1
4650,monitoring and supervision of existing water schemes,1,1,0,1
4651,monitoring capability,1,0,1,1
4652,monitoring framework,1,1,0,1
4653,monitoring framework systems,1,1,0,1
4654,monitoring logs,1,1,0,1
4655,monitoring of water operations,1,1,0,1
4656,monitoring systems,1,1,0,1
4657,monopoly of sewage disposal service,1,1,0,1
4658,monthly monitoring forms,1,1,0,1
4659,monthly monitoring reports,1,1,0,1
4660,motivation programs,1,1,0,1
4661,motor failure,1,0,1,1
4662,motorized water pump adoption,1,0,1,1
4663,motorized water systems,1,1,0,1
4664,multi-body coordination for awareness,1,1,0,1
4665,multi-body involvement in planning,1,1,0,1
4666,multi-infrastructure coordination in planning,1,1,0,1
4667,multi-level government coordination,1,1,0,1
4668,multi-level maintenance chain,1,1,0,1
4669,multi-level stakeholder coordination,1,1,0,1
4670,multi-organizational collaboration,1,1,0,1
4671,multi-partner resource pooling,1,0,1,1
4672,multi-party coordination,1,1,0,1
4673,multi-scheme clustering,1,1,0,1
4674,multi-sector WASH coordination,1,1,0,1
4675,multi-sector collaboration,1,1,0,1
4676,multi-sector collaborative implementation,1,1,0,1
4677,multi-sector commitment and collaboration,1,1,0,1
4678,multi-sector committee,1,1,0,1
4679,multi-sector communication,1,1,0,1
4680,multi-sector involvement,1,1,0,1
4681,multi-sector participation in WASH training,1,1,0,1
4682,multi-sector participation in sanitation and hygiene work,1,1,0,1
4683,multi-sector problem-solving capacity,1,0,1,1
4684,multi-sector support,1,1,0,1
4685,multi-stakeholder acceptance of proposals,1,1,0,1
4686,multi-stakeholder board,1,1,0,1
4687,multi-stakeholder consultation in project planning,1,1,0,1
4688,multi-stakeholder cooperation,1,1,0,1
4689,multi-stakeholder coordination for capital mobilization,1,1,0,1
4690,multi-stakeholder coordination in land allocation,1,1,0,1
4691,multi-stakeholder coordination platform,1,1,0,1
4692,multi-stakeholder dialogue,1,1,0,1
4693,multi-stakeholder discussion platform,1,1,0,1
4694,multi-stakeholder engagement,1,1,0,1
4695,multi-stakeholder financing,1,1,0,1
4696,multi-stakeholder forum,1,1,0,1
4697,multi-stakeholder fund mobilization,1,1,0,1
4698,multi-stakeholder governance structure,1,1,0,1
4699,multi-stakeholder meeting platforms,1,1,0,1
4700,multi-stakeholder meetings and discussion,1,1,0,1
4701,municipal department site identification,1,1,0,1
4702,municipal garbage collection,1,1,0,1
4703,municipal latrine maintenance support,1,1,0,1
4704,municipal revenue,1,0,1,1
4705,municipal waste disposal management,1,1,0,1
4706,municipality and institution support,1,1,0,1
4707,municipality budget,1,1,0,1
4708,municipality budget allocation,1,1,0,1
4709,municipality bureau income,1,1,0,1
4710,municipality commitment to waste management,1,1,0,1
4711,municipality follow-up,1,1,0,1
4712,municipality land preparation,1,1,0,1
4713,municipality logistics support for waste collection,1,1,0,1
4714,municipality maintenance of public latrines,1,1,0,1
4715,municipality service demands,1,1,0,1
4716,mutual support among stakeholders,1,0,1,1
4717,narrow container water storage,1,1,0,1
4718,national WASH program integration with NGO plans,1,1,0,1
4719,national government allocation to counties,1,1,0,1
4720,national government budget shortfall,1,1,0,1
4721,national government funding allocation to devolved governments,1,1,0,1
4722,national grid connection,1,1,0,1
4723,natural disasters,1,1,0,1
4724,nature-resistant water infrastructure,1,0,1,1
4725,nearby city dumping sites,1,1,0,1
4726,nearby waste collection containers,1,1,0,1
4727,need for major repairs,1,0,1,1
4728,need for rehabilitation,1,0,1,1
4729,needs assessment study,1,1,0,1
4730,negative environmental impact,1,0,1,1
4731,negligence and lack of knowledge,1,1,0,1
4732,neighboring kebele water access,1,0,1,1
4733,network coverage,1,1,0,1
4734,networked water system,1,1,0,1
4735,networking and coordination among water actors,1,0,1,1
4736,networking and information flow system,1,1,0,1
4737,new borehole siting,1,0,1,1
4738,new manufacturing industries,1,1,0,1
4739,new organizations,1,1,0,1
4740,new program achievements,1,0,1,1
4741,new sanitation systems,1,0,1,1
4742,new stakeholders in management of rural schemes,1,1,0,1
4743,new technology adoption,1,0,1,1
4744,new water facility development,1,0,1,1
4745,new water point construction,1,1,0,1
4746,new water scheme development,1,0,1,1
4747,new water scheme development cost,1,1,0,1
4748,new water wells construction,1,1,0,1
4749,nighttime open defecation,1,1,0,1
4750,nighttime water distribution schedule,1,1,0,1
4751,nomadic/pastoralist behavior,1,1,0,1
4752,non-combustible waste removal,1,0,1,1
4753,non-functional WASH facilities,1,1,0,1
4754,non-functional borehole,1,1,0,1
4755,non-functional boreholes,1,0,1,1
4756,non-functional latrines,1,1,0,1
4757,non-functional water schemes,1,1,0,1
4758,non-functioning public water schemes,1,1,0,1
4759,non-merit-based employment,1,1,0,1
4760,non-payment of fees to Whave,1,1,0,1
4761,non-revenue water levels,1,1,0,1
4762,non-revenue water management,1,1,0,1
4763,non-revenue water reduction,1,1,0,1
4764,non-revenue water team integrity,1,1,0,1
4765,non-revenue water tracking,1,0,1,1
4766,number of disposal sites,1,1,0,1
4767,number of functional boreholes,1,0,1,1
4768,number of kebeles,1,1,0,1
4769,number of water sector stakeholders,1,1,0,1
4770,off-take well hand pump installation,1,1,0,1
4771,office commitment,1,1,0,1
4772,office equipment provision,1,0,1,1
4773,officer knowledge,1,0,1,1
4774,official attention to landfill,1,1,0,1
4775,official awareness,1,1,0,1
4776,official corruption in water point selection,1,1,0,1
4777,officials' awareness and consciousness,1,1,0,1
4778,old GI pipes,1,1,0,1
4779,old and damaged pipelines,1,1,0,1
4780,old distribution pipes,1,1,0,1
4781,old water line replacement,1,1,0,1
4782,old water lines,1,1,0,1
4783,old water pipelines,1,1,0,1
4784,on-job and professional training,1,1,0,1
4785,one-health package,1,1,0,1
4786,one-health package sustainability,1,0,1,1
4787,one-to-five group system,1,1,0,1
4788,ongoing training burden,1,0,1,1
4789,onsite training,1,1,0,1
4790,open area liquid waste disposal,1,1,0,1
4791,open burning of waste,1,0,1,1
4792,open communication with senior officials,1,1,0,1
4793,open container use for water storage,1,1,0,1
4794,open cross-agency reporting,1,1,0,1
4795,open defecation and improper toilet use,1,0,1,1
4796,open defecation and urination,1,0,1,1
4797,open defecation campaign,1,1,0,1
4798,open defecation near water sources,1,1,0,1
4799,open defecation practices,1,0,1,1
4800,open defecation prevalence,1,0,1,1
4801,open ditch sewage,1,1,0,1
4802,open reservoir evaporation,1,1,0,1
4803,open sewage release to rivers,1,0,1,1
