DOC ID,Statement,Cause Factor,Effect Factor,Challenge / Solution
178,the community can contribute in kind in handling regular maintenance of the facilities. This in turn reduces the burden of maintenance cost.,community in-kind contribution to maintenance,maintenance cost burden,Solution
178,This in turn reduces the burden of maintenance cost and save the limited resources to other areas for the development of new schemes.,maintenance cost burden,resources for new scheme development,Solution
178,Governmental and other non-governmental organizations that can support the water development should clearly identify the practical problems of the community to ensure sustainable water service.,government and NGO identification of practical community problems,sustainable water service,Solution
178,"They must check the reality on ground, whether or not the society being the beneficiary from water schemes.",ground-level reality assessment of water schemes,water scheme benefit to society,Solution
178,find out a solution in collaboration with relevant stakeholders.,multi-stakeholder collaboration,water service solution development,Solution
179,"Due to delayed procedures during procurement, less attention is given during bidding of contractors to be engaged in the water infrastructure development in the area.",delayed procurement procedures,attention to contractor selection,Challenge
179,Establishment of water schemes with poor quality materials and spare parts is causing extra costs for the community since they are easily damaged and need to be changed spontaneously.,poor quality materials and spare parts,infrastructure damage,Challenge
179,Establishment of water schemes with poor quality materials and spare parts is causing extra costs for the community since they are easily damaged and need to be changed spontaneously.,infrastructure damage,extra costs for community,Challenge
179,"Lack of awareness, sense of ownership and commitment at the different levels of institutions engaged in water services delivery starting from WASHCOs to regional water bureaus is another challenge.",institutional awareness and sense of ownership,water services delivery,Challenge
179,"Poor stakeholders' coordination: This is particularly a challenge among the three main sectors: water, education and health. The coordination platform is also poor among all the WASH stakeholders found both at the zonal and woreda levels.",stakeholder coordination among WASH sectors,WASH service delivery,Challenge
179,"Lack of capital budget in some of the woredas, out of 11 woredas found in the zone, 4 of them don't plan for capital budget to be used for development of water schemes.",capital budget,water scheme development,Challenge
179,"Due to limited capital budget, we are not even be able to maintain the existing schemes since maintenance needs a smaller finance than developing new infrastructures.",capital budget,maintenance of existing water schemes,Challenge
179,"Shortage of vehicles and inadequate spare parts: even when spare parts are available in some of the woredas, at the same time other areas couldn't access them easily.",vehicle availability,spare parts access,Challenge
179,"Shortage of vehicles and inadequate spare parts: even when spare parts are available in some of the woredas, at the same time other areas couldn't access them easily.",spare parts availability,water scheme maintenance,Challenge
179,Limited attention and priority given to the water sector from other sectors is also another problem in this zone.,priority given to water sector,water sector performance,Challenge
179,"Since we are not supporting, monitoring and motivating WASHCOs continuously, I know that there are model WASHCOs which retreated back to their normal stages in rural areas.",monitoring and motivation of WASHCOs,WASHCO performance,Challenge
179,One of the aggravating factors for this problem is inflation of construction materials.,construction material inflation,procurement costs,Challenge
179,"when we are designing schemes and planning to construct, we should consider the timely cost of materials and other expenses and start the work immediately. This includes, as much as possible, trying to finish a project in its allotted time.",timely project implementation,procurement cost overruns,Solution
179,"we need to develop a system of information storing, data analysis and decision making instead of talking without valid reasons.",data management and analysis system,decision making quality,Solution
179,"institutionalizing and providing regular technical and financial support to our major branch, 'water institutes administration and equipment maintenance directorate' is very important as it is mandated to oversee and maintain all water schemes in the zone.",technical and financial support to water equipment maintenance directorate,oversight and maintenance of water schemes,Solution
179,"We do have shortage of technical man power in this branch. So, capacitating this directorate with adequate technicians and other relevant resources would solve many of the challenges we are facing with regard to water services",technical manpower in water maintenance directorate,water service delivery,Solution
179,"For the lack of awareness and sense of ownership, the main thing is to strengthen the role of WASHCOs in rural areas.",strong WASHCOs,community awareness and sense of ownership,Solution
179,"Once we have strong WASHCOs supported by awareness creation, small level damages and other financial problems would be solved gradually.",awareness creation,WASHCO effectiveness,Solution
179,"Once we have strong WASHCOs supported by awareness creation, small level damages and other financial problems would be solved gradually.",strong WASHCOs,infrastructure damage,Solution
179,"Once we have strong WASHCOs supported by awareness creation, small level damages and other financial problems would be solved gradually.",strong WASHCOs,community-level financial problems,Solution
179,we have been discussing last time with the zone administration and are able to allocate capital budget for two woredas from the existing four even if it is still inadequate.,zone administration coordination,capital budget allocation for water schemes,Solution
179,"we are trying to provide skills training at the WASHCOs level but this has to be developed well to have more trained technicians, including plumbers and electricians everywhere.",skills training for WASHCOs,trained technicians availability,Solution
179,This can be done through continuous discussions with the zone administration,zone administration coordination,skills training programs,Solution
179,"Once we solve budget problems, we can minimize many of water sustainability challenges in the zone.",budget availability,water sustainability challenges,Solution
179,This still needs collaborative actions between the zonal administration and the region.,collaborative actions between zonal and regional administration,budget problem resolution,Solution
179,we should also work out to continue working with WASH stakeholders since this doesn't need additional financing.,WASH stakeholder coordination,water sustainability,Solution
180,The main issue is awareness problem related to properly use the services.,community awareness on proper water service use,proper use of water infrastructure,Challenge
180,"Since south Ari is sloppy in its landscape, there is difficulty of installing pipelines in all kebeles.",hilly terrain,pipeline installation coverage,Challenge
180,The community lacks the culture of using the water infrastructures properly.,community culture of using water infrastructure,water infrastructure sustainability,Challenge
180,the society is a bit far from the proper ways of practicing sanitation and personal hegiene. This is becoming a major cause for the prevalence of water borne diseases.,sanitation and hygiene practices,water borne disease prevalence,Challenge
180,"other sectors have left this issue to the water and Sanitation office. This is creating a burden to the office as the mission involves integrated activities from all sectors, including our office.",multi-sector participation in sanitation and hygiene work,workload burden on water and sanitation office,Challenge
180,We are not doing awareness building activity on sanitation and water borne-diseases... that is one of the major gaps we need to improve... It's actually our commitment problem.,office commitment,awareness building activities on sanitation and hygiene,Challenge
180,Support is needed from each of the other sectors to create awareness on sanitation and hygiene.,multi-sector support,sanitation and hygiene awareness,Solution
180,it wouldn't be as such difficult to develop a number of boreholes as much as we need if we can work together.,inter-sector collaboration,borehole development,Solution
180,"Due to lack of coordination, we can see that some boreholes are left without use.",coordination among sectors,borehole utilization,Challenge
180,The water is not pure since it is not scientifically treated. This is one of the areas that need our coordination.,scientific water treatment,water purity,Challenge
180,our problem with regard to water is not shortage of the underground water but the techniques of accessing and making readily available for use.,water access techniques,water availability,Challenge
180,This needs a joint action. It shouldn't be left to water office only.,joint sectoral action,water and sanitation service sustainability,Solution
180,"If the stream committee doesn't conduct evaluation every quarter of the year about the contribution of each member, there will be inefficiency.",WASH committee quarterly performance evaluation,sector coordination efficiency,Challenge
180,"When the committee arranges a meeting regarding WASH, members are not required to present their accomplishments.",accountability for accomplishments in WASH committee meetings,member sector performance,Challenge
180,each of the member offices need to have their own plans and performance reports that would be presented in such meetings but in reality that doesn't work.,sector office planning and performance reporting,integrated WASH committee effectiveness,Challenge
180,The major role of implementing all these duties is at the hands of water and sanitation office. That is the main cause for the failure of the water scheme projects in this woreda.,concentration of responsibility in water and sanitation office,water scheme project failure,Challenge
180,Integrated work is vital in order to address problems related water and sanitation.,integrated multi-sector work,water and sanitation problem resolution,Solution
180,WASH problems are diverse and many and they should be solved with the commitment of many sectors and different experts.,multi-sector commitment and collaboration,WASH problem resolution,Solution
181,most of the health facilities do not have access for clean water...This water supply problem affected the health service in different areas.,water supply access at health facilities,health service quality,Challenge
181,most of the health facilities do not have access for clean water...they cannot keep the latrines clean,water supply access at health facilities,latrine cleanliness,Challenge
181,most of the health facilities do not have access for clean water...they cannot provide proper maternal and childcare service,water supply access at health facilities,maternal and childcare service quality,Challenge
181,the facilities cannot be exemplary for the community as the institutional WASH condition is very poor,institutional WASH condition at health facilities,health facility as community example,Challenge
181,in pastoral areas due to the mobile nature of the community; we cannot introduce the use of latrines and minimize open defecation,mobile nature of pastoral community,latrine adoption,Challenge
181,in pastoral areas due to the mobile nature of the community; we cannot introduce the use of latrines and minimize open defecation,mobile nature of pastoral community,open defecation,Challenge
181,the rural community has limited access for clean water. Most of them use unsafe river water,clean water access,use of unsafe river water,Challenge
181,Most of them use unsafe river water and predisposed for various health problems.,unsafe river water use,health problems,Challenge
181,the budget requirement to develop water schemes in each health facility is beyond the capacity of the zonal administration,zonal administration budget capacity,water scheme development for health facilities,Challenge
181,we should mobilize potential partners that has institutional WASH development program,partner mobilization,institutional WASH development,Solution
181,The government should also provide attention for institutional WASH problem in the area in terms of allocating budget and mobilizing potential partners.,government budget allocation,institutional WASH development,Solution
181,we have to settle the pastoral community in a village and develop communal latrines within the villages,pastoral community settlement,communal latrine development,Solution
181,we have to settle the pastoral community in a village and develop communal latrines within the villages,communal latrine development,open defecation,Solution
181,we have to undertake awareness enhancement campaign on sanitation and hygiene,awareness enhancement campaign,sanitation and hygiene practices,Solution
181,the zonal radio transmission center should play remarkable role by collaborating with the health extension program in terms of transmitting heath and sanitation education in different local languages,zonal radio transmission,health and sanitation education,Solution
181,the zonal radio transmission center should play remarkable role by collaborating with the health extension program in terms of transmitting heath and sanitation education in different local languages,health extension program collaboration,health and sanitation education,Solution
181,the zonal water office...in collaboration with other development partners should develop spring waters...in different rural parts of the zone,zonal water office and development partners,spring water development,Solution
181,this institution in collaboration with other development partners should...treat river water...in different rural parts of the zone,zonal water office and development partners,river water treatment,Solution
181,this institution in collaboration with other development partners should develop...boreholes in different rural parts of the zone,zonal water office and development partners,borehole development,Solution
181,Developing spring water and treating river water do not require large amount of budget unlike development of new boreholes.,spring water development,budget requirement,Solution
181,"If there is sufficient access for clean water in all areas, we can reduce the occurrence of various water borne diseases.",clean water access,water-borne disease occurrence,Solution
181,We can also reduce death of mothers and children significantly.,clean water access,maternal and child mortality,Solution
182,we have shortage of budget... we proceed with our duties on the basis of annual budget which is not sufficient to execute what we have planned,budget shortage,execution of planned water works,Challenge
182,Most of the budget that is allocated for water and sanitation sector is mainly utilized for the staff salary payment.,staff salary payment,capital budget for water works,Challenge
182,"The people don't have good awareness on the vitality of community's work, so there is no community participation.",community awareness on importance of participation,community participation in water projects,Challenge
182,the waters service coverage is low in the zone due to the aggregate effects of all the aforementioned factors,community participation,water service coverage,Challenge
182,people expect every minor problem of water infrastructure to be fixed by the government office. Community members should be able to fix minor problems by themselves.,community reliance on government for minor repairs,community self-maintenance of water infrastructure,Challenge
182,"all people should own toilet houses privately at household level, but they don't actually have.",private toilet ownership,household sanitation,Challenge
182,"Hand washing basin or pot should also be kept in the toilet, but this is not commonly used here. Schools and health offices don't have hand washing basins kept outside the toilets.",handwashing basin availability,hand hygiene practice,Challenge
182,There is such a problem with regard to outreaching water facilities to all people who live in distant urban and rural areas of the woreda.,geographic remoteness,water service coverage,Challenge
182,"The budget allocation from the region lacks fairness. More than 25% of the budget is already left there. Our share should have been like 3.7 million birr; however, we receive only 1.2 million birr.",equitable budget allocation from regional government,zone-level water budget,Challenge
182,There is scarcity in budget allocation or budget flow at Federal or region level. The existing budget at zone level could not be used beyond salary payment.,federal/regional budget flow to zone,capital budget for water works,Challenge
182,there is a serious problem as long as shortage of water supply service is not solved,water supply shortage,sanitation service sustainability,Challenge
182,Water pans are not used properly to help people wash their hands while going out from the latrines.,water pan availability at latrines,handwashing practice at latrines,Challenge
182,"Though some enterprises were established to give latrine services to the people, the trend didn't proceed sustainably.",enterprise involvement in latrine services,latrine service sustainability,Challenge
182,Water work needs continued effort and sufficient Capital... budget should be allocated separately for water facility.,capital budget for water facility,water scheme development,Solution
182,the government has a new track to allocate at least 65% to 75% of the total budget for capital works and water services,government capital budget allocation to water services,water service coverage,Solution
182,we need to make the public participate on such activities continuously,public participation in water activities,water project sustainability,Solution
182,enable the people develop natural springs and maintain those that have already become non-functional,community development and maintenance of natural springs,water service availability,Solution
182,there are some water schemes that have been constructed to serve the pastoralists with the help of NGOs operating in the zone,NGO participation in water projects,water scheme construction,Solution
182,"We also conduct annual forums to encourage NGOs to participate on developments of water, health and education sectors. We need to strengthen this trend and sustain it.",annual coordination forums,NGO engagement in water and sanitation,Solution
182,The other solution is to improve our information recording and storing system since we have bad information recording trends.,information recording and storing system,water service planning,Solution
182,"In the different stages/workshops and meetings/ that we hold, we need to flag water and sanitation issues and discuss to upgrade people's awareness.",workshops and awareness meetings on WASH,community hygiene awareness,Solution
182,"If we keep on strengthening what has already been started on personal and community hygiene, there will be a hope to bring change.",personal and community hygiene programs,sanitation outcomes,Solution
182,Health office should take the lions share to give emphasis on the issues and challenges of sanitation.,health office emphasis on sanitation,sanitation service improvement,Solution
182,"If we collaborate with health extension workers by giving them trainings, we can promote and improve sanitation services.",training health extension workers,sanitation service promotion,Solution
182,There has been a new model of plastic sanitary material that can be used in the toilet. We hope that this can make a difference.,plastic sanitary materials for latrines,latrine conditions,Solution
182,We should mobilize the different water committees to get them engaged in small scale water scheme constructions... This will have a positive impact on the sustainability of water service.,community mobilization for small water schemes,water service sustainability,Solution
182,Water sector office has shelved studies that can be used as inputs for project implementers... responsible sectors and NGOs should see the study results that can be found in water and sanitation office.,utilization of shelved water study data,water project implementation,Solution
182,The first thing to do is mobilizing the community members to participate on water projects. Developing sense of ownership for water schemes is crucial.,community participation in water projects,sense of ownership of water schemes,Solution
182,"If this is done, the people will adopt good sanitation habits and sanitation problem will be minimized.",sense of ownership of water schemes,sanitation habits,Solution
182,the people will adopt good sanitation habits and sanitation problem will be minimized.,sanitation habits,sanitation problems,Solution
182,"If people are aware of sanitation, they will have the interest to look for fund by themselves and invest on small water scheme projects.",community awareness of sanitation,community self-investment in water projects,Solution
183,The available few water schemes in these areas are not operational due to absence of regular follow up and maintenance.,regular follow up and maintenance,water scheme functionality,Challenge
183,there is serious shortage of spare parts and other maintenance materials in remote woredas of the zone.,spare parts and maintenance materials,water scheme functionality,Challenge
183,"Due to shortage of clean water supply, farmers and pastoralist forced to use river and spring water",clean water supply,use of unsafe water sources,Challenge
183,"Due to shortage of clean water supply, farmers and pastoralist forced to use river and spring water and this predispose them for various water borne diseases.",use of river and spring water,water borne diseases,Challenge
183,"the size of the population is growing rapidly but the water supply remains the same. This implies, there is water supply and demand imbalance in the town.",population growth,water supply and demand imbalance,Challenge
183,The short run solution to improve the water service in rural areas is providing regular maintenance service and facilitate access for spare parts in rural areas.,regular maintenance service,rural water service quality,Solution
183,The short run solution to improve the water service in rural areas is providing regular maintenance service and facilitate access for spare parts in rural areas.,access to spare parts in rural areas,rural water service quality,Solution
183,we have to provide maintenance skill training to local communities to enable them manage minor maintenance on their own.,maintenance skill training for local communities,community-managed minor maintenance,Solution
183,we should provide water treatment chemicals or materials to rural community to protect them from water borne diseases.,water treatment chemicals and materials,water borne diseases,Solution
183,The long run solution to ensure sustainable water service in rural areas is developing deep wells that can generate water during dry seasons.,deep well development,dry season water supply,Solution
183,"most of the rural areas have arid climatic condition, shallow wells could not serve the community during dry season.",arid climatic conditions,shallow well functionality,Challenge
183,the government should allocate sufficient budget for the development of deep wells.,government budget allocation,deep well development,Solution
183,"As this task requires huge capital budget, NGOs should collaborate with the government to fill the gaps.",NGO-government collaboration,deep well development funding,Solution
183,new institutions like Universities and Technical and Vocational training colleges are established in the town. This implies there is high water demand in the town.,institutional expansion,water demand,Challenge
183,the town administration should work on water supply expansion by undertaking situational analysis study on the water demand as well as potentials source of water.,situational analysis of water demand and sources,water supply expansion planning,Solution
183,The administration should put this task in its short run plan and mobilize fund for the implementation of the project.,fund mobilization,water supply expansion project implementation,Solution
183,"If we find solution to water supply shortage in rural areas, it will have multi-dimensional benefit... we can protect the community from water borne diseases.",rural water supply,water borne diseases,Solution
183,If we find solution to water supply shortage in rural areas... The community can keep its personal hygiene.,clean water access,personal hygiene,Solution
183,If we find solution to water supply shortage in rural areas... We will have productive and health community.,clean water access,community health,Solution
183,"We will have productive and health community. In other words, we can improve agricultural productivity.",community health,agricultural productivity,Solution
184,the areas are very arid and it requires huge capital budget to develop boreholes in the areas,arid climate conditions,capital budget requirement for borehole development,Challenge
184,The budget requirement is beyond the capacity of the woreda and zonal government,government budget capacity,water scheme development,Challenge
184,there is water supply shortage in the Zonal Town (Jinka) due to rapid growth of the population,population growth,water supply shortage,Challenge
184,this expansion project is delayed for long time due to capital budget shortage,capital budget shortage,water supply expansion delay,Challenge
184,"this expansion project is delayed for long time due to capital budget shortage. Because of this, currently the town water utility office forced to supply water in shift (rationing) bases",water supply expansion delay,water rationing,Challenge
184,Open defecation is very common practice as the pastoral community are not aware of the health benefits of latrines,community awareness of health benefits of latrines,open defecation,Challenge
184,Non-governmental organization should cooperate with the zonal government in terms of providing financial and technical support,NGO financial and technical support,water scheme development,Solution
184,The regional government should also allocate sufficient budget for the zone,regional government budget allocation,water scheme development,Solution
184,to develop water schemes that can serve the community for long period there should be in-depth study to identify areas that have potential water resource,water resource potential study,water scheme longevity,Solution
184,we have to mobilize funds for NGOs and the regional government to finalize the projects within short period,fund mobilization from NGOs and regional government,water supply expansion project completion,Solution
184,"If these projects can be completed and become operational within short period, I think the supply shortage will be solved at least partly",water supply expansion project completion,water supply shortage alleviation,Solution
184,Currently the government is facing strong opposition from the community due water supply shortage,water supply shortage,community opposition to government,Challenge
184,"If we can solve this problem, we can achieve political stability",water supply shortage alleviation,political stability,Solution
184,alleviating the water supply shortage will result in smooth relation between the community and the government,water supply shortage alleviation,community-government relations,Solution
185,Utilization methods are poor in purifying springs and outreach the service to the public. About 70 % of people in the community have no access to clean water supply as per service standard.,spring water purification methods,access to clean water,Challenge
185,currently available clean water supply could not fulfill the demand for the increasing population.,population growth,water supply coverage,Challenge
185,they don't perceive the existing water schemes as their own since they are constructed by the donors.,donor-constructed water schemes,community sense of ownership,Challenge
185,questionable whether partner organizations and government are really committed to grant the completed projects to the public with the appropriate title and sense of ownership.,government commitment to project handover,community sense of ownership,Challenge
185,problem with maintenance support by the water and sanitation office since the water scheme demands regular inspection.,maintenance support by water and sanitation office,water scheme functionality,Challenge
185,There is also shortage of vehicles to travel to most of the rural kebeles. Those kebeles located far from the town are not accessible by vehicles except through motor bikes.,vehicle availability,access to rural kebeles,Challenge
185,Low quality standard in the projects being developed is another major challenge.,project quality standards,water project sustainability,Challenge
185,delay of tasks being performed in the fields as the machineries breakdown in the long run due to lack of timely repair.,timely machinery repair,machinery breakdown,Challenge
185,There is also delay of tasks being performed in the fields as the machineries breakdown in the long run due to lack of timely repair.,machinery breakdown,field task delays,Challenge
185,South Omo zone ... is the largest of all the zones in the area but one of the zones with the lowest water coverage ... this requires special attention to and more budget from the government and other partners working in WASH sector.,government budget allocation to WASH,water service coverage,Solution
185,Majority of the community in our zone are pastoralists and they are lowland areas which makes water access more difficult than those of the highlanders.,lowland pastoralist geography,water access,Challenge
185,The regional office should consider the climatic and environmental problems of this zone while allocating capital budget annually.,climate and environment consideration in budget allocation,appropriate capital budget,Solution
185,"Most importantly, we should be able to produce adequately trained and technically fit human power in the sector.",trained technical human power,WASH sector capacity,Solution
185,Trainings that focus on awareness creation should be provided to the community and students in schools regularly so that everyone can be aware of the effects of poor sanitation.,awareness training programs,community awareness of poor sanitation effects,Solution
185,It helps a lot if people learn about preparing latrine and get familiar to washing hand with soup and clean water.,community sanitation knowledge,latrine use and handwashing practices,Solution
185,The majority of our budget goes to salaries and other emergency expenses.,salary and emergency expenses,WASH budget utilization,Challenge
185,It is still at the hands of the local and regional governments to properly allocate budgets and oversee its fruits.,government oversight of budget,WASH budget utilization,Solution
185,The most important solution we need is to hire skilled technical manpower since we need them for timely maintenance and repair.,skilled technical manpower,timely maintenance and repair,Solution
185,"We have only one expert in our zone that is accountable for any failure across all districts. With this resource, we can't go far beyond the level we have now.",technical expert staffing,failure response coverage across districts,Solution
185,The second most important solution should be extensive awareness creation programs to the community. ... the community needs to use water infrastructures wisely.,community awareness creation programs,water infrastructure use,Solution
185,They should also consider these infrastructures as their own property. Sense of ownership is necessary. Almost 40% of the water schemes constructed so far are not well functioning because of lack of awareness and sense of ownership.,community sense of ownership,water scheme functioning,Solution
185,Almost 40% of the water schemes constructed so far are not well functioning because of lack of awareness and sense of ownership. Millions of birr were spent on those water schemes during construction.,community awareness,water scheme functioning,Solution
185,The money we collect from the water service is not sufficient to cover the cost of maintenance.,water service revenue,maintenance cost coverage,Challenge
185,The question of water is equivalent to the question of basic human rights. Water service needs focus and attention by the government.,government attention to water service,water service,Solution
185,"Through coordinated actions involving both the local government and NGOs operating in the area, we need to have controlled water borne disease and a community with improved latrine and hand washing services.",coordinated local government and NGO actions,water borne disease control,Solution
185,"Through coordinated actions involving both the local government and NGOs operating in the area, we need to have controlled water borne disease and a community with improved latrine and hand washing services.",coordinated local government and NGO actions,improved latrine and handwashing services,Solution
185,"For this to be effective, waste collection sites and sanitary materials should be readily available.",availability of waste collection sites and sanitary materials,latrine and handwashing services,Solution
186,lack of qualified work force that regularly monitor water schemes. There are more than 50 kebeles in the woreda but we have only two water technicians at woreda level.,qualified workforce,water scheme monitoring,Challenge
186,there is no capacity building training for woreda water office staffs and rural water management committees (WASHCos) on management and maintenance of water schemes. Most of the water schemes become out of service due to minor problems.,capacity building training for WASHCos and water office staff,water scheme management,Challenge
186,Most of the water schemes become out of service due to minor problems.,unresolved minor technical problems,water scheme functionality,Challenge
186,"If we capacitate WASHCos by providing technical trainings and supporting maintenance tools, the schemes can serve the community for long period.",WASHCo technical capacity,water scheme service duration,Solution
186,woreda water office has serious shortage of budget for the management of water schemes in different parts of the woreda. Finance is a big challenge for woreda water office to dispose its responsibility properly.,woreda water office budget,water scheme management,Challenge
186,provide credit access from the woreda revolving fund can be one solution to reach large number of kebeles of the woreda,credit access from revolving fund,micro and small enterprise formation,Solution
186,organizing this unemployed youth in the form of micro and small enterprise... This arrangement enable to... provide maintenance service in remote kebeles of the woreda.,micro and small enterprise for maintenance,maintenance service in remote kebeles,Solution
186,This arrangement enable to create employment opportunity as well as to provide maintenance service in remote kebeles of the woreda.,micro and small enterprise arrangement,employment opportunity,Solution
186,All stakeholders including NGOs operating in the areas should have plan to strengthen WASHCos through providing technical skill training.,technical skill training for WASHCos,WASHCo capacity,Solution
186,create opportunities for WASHCos to visit successful WASHCos in other areas,WASHCo peer learning visits,WASHCo capacity,Solution
186,provide light maintenance tools for each WASHCos functioning in rural areas,maintenance tools for WASHCos,WASHCo maintenance capability,Solution
186,"woreda administration and woreda finance offices should give priority for water sector, as water is life for human beings",woreda administration priority for water sector,water sector budget,Solution
186,woreda should reduce the budget from other sectors and allocate sufficient budget for the water sector,budget reallocation from other sectors,water sector budget,Solution
186,NGOs should also support woreda water office both technically and financially,NGO technical and financial support,woreda water office capacity,Solution
186,strengthening WASHCos and organizing micro and small enterprises that provide maintenance service in rural areas is the most important solution to ensure sustainable water service in the area,WASHCo strengthening,sustainable water service,Solution
186,strengthening WASHCos and organizing micro and small enterprises that provide maintenance service in rural areas is the most important solution to ensure sustainable water service in the area,micro and small enterprise maintenance service,sustainable water service,Solution
186,"strengthening WASHCos and organizing micro and small enterprises... is the most important solution... If we can do this, we can protect the community from water borne diseases",WASHCo strengthening,water-borne disease burden,Solution
186,we can minimize political instability due a claim for access for clean water,access to clean water,political instability,Solution
186,"In general, we can improve the efficiency of the existing water schemes",WASHCo strengthening,water scheme efficiency,Solution
187,"Most of the water facilities developed without a clear understanding of the potential of the areas. Because of this, the water schemes do not supply water for long period.",comprehensive pre-development study,water scheme longevity,Challenge
187,The materials used for development of water schemes are of poor quality and easily become worn-out.,construction materials quality,water scheme durability,Challenge
187,the contractors are not qualified and do not have the required technical skill. This obviously affect the sustainability of water service in different parts of the zone.,contractor technical skill,water service sustainability,Challenge
187,"Even if local community can repair some of the problems, they cannot repair them due to absence of spare parts and tools.",spare parts availability,water scheme repair capacity,Challenge
187,the zonal and woreda water offices do not have regular monitoring and maintenance schedule to ensure sustainability of the water facilities.,monitoring and maintenance schedule,water facility sustainability,Challenge
187,The community also lacks awareness on proper use of water facilities. This mismanagement by the community seriously affect the sustainability of water schemes in various rural areas.,community awareness on proper use of water facilities,water scheme sustainability,Challenge
187,"During studies prior to development of water schemes, we have to consider local knowledge. There should be discussion with local communities about areas that have potential water resource.",local community consultation in water scheme planning,water resource identification quality,Solution
187,qualified local consultants that have solid experience in similar assignments should conduct the study.,qualified local consultants,pre-development study quality,Solution
187,"When we select materials for construction of water facilities, we have to consider their durability",material durability consideration in procurement,water scheme durability,Solution
187,availability of the materials in nearby areas when there is a need for maintenance,local availability of construction materials,maintenance capacity,Solution
187,the regional and zonal water authorities should undertake materials quality check throughout project implementation.,materials quality oversight by authorities,construction materials quality,Solution
187,"Otherwise, contractors use cheap and poor quality materials to maximize their profit.",contractor profit maximization,construction materials quality,Challenge
187,we have to aware the community on proper use of water schemes to minimize frequency of damages or breakages.,community awareness on proper water scheme use,frequency of damage and breakage,Solution
187,we have to provide training on minor maintenance skill for selected groups of the community.,minor maintenance skill training,community maintenance capacity,Solution
187,we have to equip those selected and trained individuals with appropriate maintenance tools.,maintenance tools provision,community maintenance capacity,Solution
187,we have to facilitate access for spare parts through organizing groups that supply materials in local areas.,organized local spare parts supply groups,spare parts access,Solution
187,there should be regular follow-up by water offices to identify gaps and provide maintenance for major problems as well as to provide continuous skill development trainings.,regular water office follow-up,major maintenance coverage,Solution
187,we have to strengthen these committees by providing various trainings on proper use and management of water facilities.,WASHCo training,WASHCo management capacity,Solution
187,"Once we make WASHCos well aware, they can provide trainings to the rest of the community members. By doing this we can enhance the awareness of large segment of the community within short period.",WASHCo capacity,community awareness on water facility use,Solution
187,conducting comprehensive study by involving local communities prior to development of any form of water schemes... we can develop water schemes that have a potential to generate quality and long serving water for the community.,community consultation in pre-development study,water scheme sustainability,Solution
187,"If we conduct such studies in consultation with local community and by involving qualified experts, we can develop water schemes that have a potential to generate quality and long serving water for the community.",qualified expert involvement in water scheme planning,water scheme quality,Solution
188,"absence of strong water management committees (WASHCos) in rural areas...committees do not dispose their responsibility properly. Because of this, the water schemes do not serve the community for long period due to minor problems.",WASHCo functional capacity,water scheme sustainability,Challenge
188,woreda water offices do not provide the required support to rural water management committees (WASHCos).,woreda water office support to WASHCos,WASHCo performance,Challenge
188,"The water office do not regularly monitor the water schemes and provide technical support for WASHCos. In general, the monitoring system of the woreda water office is very weak.",woreda water office monitoring,water scheme sustainability,Challenge
188,"in pastoral areas, the community lack awareness on management of water schemes...they do not contribute money that will be used for maintenance of the schemes",community awareness on water scheme management,financial contribution for maintenance,Challenge
188,they do not contribute money that will be used for maintenance of the schemes when they become broken. They simply use the schemes when they are functional but they are not willing to cover the regular maintenance costs.,community financial contribution,water scheme maintenance,Challenge
188,government has a health extension structure up to village level. The health extension workers regularly teach the community about basic health and sanitation problems.,health extension worker teaching,community sanitation awareness,Solution
188,our organization in collaboration with the health office conducted a campaign to avoid open defecation and to create areas that are free from open defecation.,open defecation campaign,open defecation prevalence,Solution
188,in some areas the latrines constructed by the community do not serve for long period due to use of improper materials or poor quality materials.,latrine construction material quality,latrine durability,Challenge
188,"There should be regular capacity building training for WASHCos. To this end, the woreda water offices should regularly visit rural kebeles and identify gaps related to water schemes management.",capacity building training for WASHCos,WASHCo performance,Solution
188,woreda water offices should regularly visit rural kebeles and identify gaps related to water schemes management and take appropriate action to address the gaps immediately.,woreda water office visits to rural kebeles,identification of water scheme management gaps,Solution
